Status	Description	References	Datasheet	Manufacturer	Part Number	Vendor	Quantity	Price	Cost	Preferred
Auto Selected	63mW Thick Film Resistors ±100ppm/℃ ±1% 1.5kΩ 0402  Chip Resistor - Surface Mount ROHS	R8	https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf	YAGEO	RC0402FR-131K5L	Mouser	1.0	0.1	0.1	 
Auto Selected	25V 15pF NP0 ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C13 C12	https://datasheet.lcsc.com/lcsc/2309201533_Walsin-Tech-Corp-0402N150J250CT_C2443203.pdf	WALSIN	0402N150J250CT	Mouser	2.0	0.1	0.2	 
Auto Selected	16V 100nF ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C19	https://datasheet.lcsc.com/lcsc/2108051630_Wurth-Elektronik-885012105016_C2168713.pdf	Wurth Elektronik	885012105016	Mouser	1.0	0.1	0.1	 
Auto Selected	50V 150pF ±1% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C24	https://datasheet.lcsc.com/lcsc/2109092030_Murata-Electronics-GCM1555C1H151FA16D_C1864411.pdf	MURATA	GCM1555C1H151FA16D	Newark	1.0	0.038	0.038	 
Auto Selected	X,Y,Z LGA-16(3x3)  Attitude Sensor/Gyroscope ROHS	U4	https://datasheet.lcsc.com/lcsc/1811031937_STMicroelectronics-LIS3DHTR_C15134.pdf	STMICROELECTRONICS	LIS3DHTR	Mouser	1.0	2.26	2.26	 
Auto Selected	10V 1uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C9 C4	https://api.kemet.com/component-edge/download/datasheet/C0402C105M8PACTU.pdf	YAGEO	C0402C105M8PACTU	Mouser	2.0	0.1	0.2	 
Auto Selected	63mW Thick Film Resistors ±100ppm/℃ ±1% 1.8kΩ 0402  Chip Resistor - Surface Mount ROHS	R4 R3	https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English	TE CONNECTIVITY	CRGCQ0402F1K8	Mouser	2.0	0.1	0.2	 
Auto Selected	62.5mW Thick Film Resistors ±100ppm/℃ ±1% 51kΩ 0402  Chip Resistor - Surface Mount ROHS	R11 R10 R9	https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-0751KL_C107229.pdf	YAGEO	RC0402FR-0751KL	Mouser	3.0	0.1	0.3	 
Auto Selected	RESISTOR AEC -Q200	R2 R1	https://www.bourns.com/docs/product-datasheets/crxxxxa.pdf	BOURNS	CR0402AJW-822GLF	Mouser	2.0	0.1	0.2	 
Auto Selected	50V 0.5pF NP0 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C17	https://datasheet.lcsc.com/lcsc/2202040530_YAGEO-AC0402CRNPO9BNR50_C2172055.pdf	YAGEO	AC0402CRNPO9BNR50	Newark	1.0	0.005	0.005	 
Auto Selected	50V 0.8pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C16	https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GJM1555C1HR80BB01J_C1852389.pdf	MURATA	GJM1555C1HR80BB01J	Mouser	1.0	0.1	0.1	 
Auto Selected	10V 1uF X5R 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C23	https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_26.pdf	YAGEO	CC0402KPX5R6BB105	Mouser	1.0	0.1	0.1	 
Auto Selected	62.5mW Thick Film Resistors 0Ω 0402  Chip Resistor - Surface Mount ROHS	R7	https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf	YAGEO	AC0402JR-130RL	Newark	1.0	0.011	0.011	 
Auto Selected	 AQFN-73-EP(7x7) Advanced Bluetooth 5, Thread and Zigbee multiprotocol SoC	U2		Nordic Semiconductor	NRF52840-QIAA-R	Mouser	1.0	5.47	5.47	 
Auto Selected	10V 4.7uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C5	https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_26.pdf	YAGEO	CC0402MRX5R6BB475	Mouser	1.0	0.1	0.1	 
Auto Selected	25V 100pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C2	https://datasheet.lcsc.com/lcsc/2304140030_KEMET-C0402C101J3GACAUTO_C2172095.pdf	YAGEO	C0402C101J3GACAUTO	Mouser	1.0	0.1	0.1	 
Auto Selected	Multilayer Ceramic Chip Capacitor 0402 Size 10uF 10V X5R ±20% Tolerance SMD T/R	C21 C14	https://datasheets.avx.com/cx5r.pdf	KYOCERA AVX	0402ZD106MAT2A	Mouser	2.0	0.29	0.58	 
Auto Selected	CAP CER 0.1UF 10V X5R 0402	C20 C15 C11 C10 C8 C7 C6 C1	https://datasheets.avx.com/cx5r.pdf	KYOCERA AVX	0402ZD104KAT4A	Mouser	8.0	0.1	0.8	 
